ITEM,QUALITY ,UNIT PRICE(D),TOTAL COST(D),DATE,
Rope for Lifting Bricks,1,400.00,400.00,8/28/2025,
Iron Rod 12mm,70,550.00,"38,500.00",8/30/2025,
Iron Rod 6mm,40,150.00,"6,000.00",8/30/2025,
Wheelbarrow,1,"2,800.00","2,800.00",8/30/2025,
Binding Wire(Roll),2,500.00,"1,000.00",8/30/2025,
Materials Transpot,1,"1,000.00","1,000.00",8/30/2025,
Cement,50,480.00,"24,000.00",8/30/2025,
Cement Transport,50,20.00,"1,000.00",8/30/2025,
Contractor Momodou Njaye Payment,1,"90,000.00","90,000.00",8/30/2025,
Gas for Generator,1,530.00,530.00,8/31/2025,
Generator Repair,1,"1,200.00","1,200.00",9/5/2025,
Sand(10Wheel),1,"8,300.00","8,300.00",9/6/2025,
Contractor Momodou Njaye Payment,1,"100,000.00","100,000.00",9/8/2025,
Cement,50,480.00,"24,000.00",9/10/2025,
Cement Transport,50,20.00,"1,000.00",9/10/2025,
1 by 2 wood,40,100.00,"4,000.00",9/13/2025,
Splitting Plywoods,1,650.00,650.00,9/13/2025,
Materials Transpot,1,600.00,600.00,9/13/2025,
Nail(kg) 3 in,3,100.00,300.00,9/13/2025,
Nail(kg) 3 in,4,100.00,400.00,9/15/2025,
Cement,50,480.00,"24,000.00",9/16/2025,
Cement Transport,50,20.00,"1,000.00",9/16/2025,
Asphalt Stone(19 cubic),1,"95,000.00","95,000.00",9/17/2025,
Iron Rod 12mm,25,540.00,"13,500.00",9/17/2025,
Iron Rod 10mm,280,330.00,"92,400.00",9/17/2025,
Iron Rod 6mm,125,140.00,"17,500.00",9/17/2025,
Binding Wire(Roll),3,400.00,"1,200.00",9/17/2025,
Iron Rods Transport,1,"3,000.00","3,000.00",9/17/2025,
Chain(2m),1,700.00,700.00,9/17/2025,
Lock,1,250.00,250.00,9/17/2025,
1 by 6,10,400.00,"4,000.00",9/17/2025,
1 by 6 & 12mm Rod Transport,1,600.00,600.00,9/17/2025,
Nail(kg) 3 in,2,100.00,200.00,9/17/2025,
Sand(10Wheel),1,"8,300.00","8,300.00",9/17/2025,
Contractor Momodou Njaye Payment,1,"100,000.00","100,000.00",9/21/2025,
Bucket,3,100.00,300.00,9/22/2025,
Binding Wire(Roll),2,500.00,"1,000.00",9/22/2025,
1 by 2 wood,20,100.00,"2,000.00",9/24/2025,
Splitting Rest of the Plywoods,1,"1,125.00","1,125.00",9/24/2025,
Plywood & 1 by 2 Transport,1,800.00,800.00,9/24/2025,
Nail(kg) 3 in,5,100.00,500.00,9/29/2025,
Nail(kg) 2 in,2,100.00,200.00,9/29/2025,
Nail(kg) 1 in,2,100.00,200.00,9/29/2025,
Cement,50,480.00,"24,000.00",9/30/2025,
Cement Transport,50,20.00,"1,000.00",9/30/2025,
Momo Waggeh's Sept Salary,1,"4,000.00","4,000.00",9/30/2025,
Gas for Generator,1,500.00,500.00,10/1/2025,
Njaye Extra- Transporting Bricks,1,"5,000.00","5,000.00",10/4/2025,
For Bubacarr Faye,1,"5,000.00","5,000.00",10/9/2025,
Cement,50,480.00,"24,000.00",10/11/2025,
Cement Transport,50,20.00,"1,000.00",10/11/2025,
Gas for Generator,1,400.00,400.00,10/13/2025,
Generator Repair,1,"2,700.00","2,700.00",10/14/2025,
Generator Transport,1,600.00,600.00,10/14/2025,
Wheelbarrow Repair,1,800.00,800.00,10/14/2025,
Sand(10Wheel),1,"8,500.00","8,500.00",10/17/25,
Binding Wire(Roll),1,500.00,500.00,10/17/25,
Nail(kg) 3 in,3,100.00,300.00,10/17/25,
Gas for Generator,1,435.00,435.00,10/19/25,
Nail(kg) 3 in,7,100.00,700.00,10/20/25,
Nail(kg) 2 in,3,100.00,300.00,10/20/25,
Momo Waggeh's Bed,1,"2,000.00","2,000.00",10/20/25,
Contractor Momodou Njaye Payment,1,"10,000.00","10,000.00",10/20/25,
Gas for Generator,1,440.00,440.00,10/23/25,
Wheelbarrow Repair,1,"1,500.00","1,500.00",10/23/25,
Cement,25,480.00,"12,000.00",10/24/25,
Cement Transport,25,20.00,500.00,10/24/25,
Pilar Mold Rental ,3,"2,000.00","6,000.00",10/24/25,
Tank Removal ,1,"5,000.00","5,000.00",10/24/25,
Gas for Generator,1,500.00,500.00,10/26/25,
Cement,25,480.00,"12,000.00",10/27/25,
