item,quantity ,unti_cost,total_cost,date,sub_category,category
Bore Drilling,1.0,95000.0,95000.0,06/24/2023,Borehole Drilling,Preconstruction
Carpenter,1.0,6500.0,6500.0,06/25/2023,Borehole Drilling,Preconstruction
Kaye Rod,34.0,180.0,6120.0,06/25/2023,Borehole Drilling,Preconstruction
Polycarbonate Roof Panel(Packs),2.5,4300.0,10750.0,06/25/2023,Borehole Drilling,Preconstruction
Big Nale(kg),3.0,100.0,300.0,06/25/2023,Borehole Drilling,Preconstruction
Small Nale(Packs),3.0,350.0,1050.0,06/25/2023,Borehole Drilling,Preconstruction
Wood for Doors,5.0,300.0,1500.0,06/25/2023,Borehole Drilling,Preconstruction
Cutting Mango Branch and Moving Bricks,1.0,1600.0,1600.0,06/25/2023,Borehole Drilling,Preconstruction
Delivering Guys,1.0,800.0,800.0,06/25/2023,Borehole Drilling,Preconstruction
Residual,1.0,2380.0,2380.0,06/25/2023,Borehole Drilling,Preconstruction
