ITEM,QUALITY ,UNIT PRICE(D),TOTAL COST(D),DATE,
1/2 wood,100,100,"10,000",12/05/2025,
1/2 Wood Transport ,1,"1,000","1,000",12/05/2025,
Concrete Nail 2 1/2 in,5,200,"1,000",12/05/2025,
Concrete Nail 2 in,45,30,"1,350",12/05/2025,
1/2 Wood,35,100,"3,500",12/06/2025,
1/6 Wood,2,350,700,12/06/2025,
Wood Transport ,1,500,500,12/06/2025,
Carpenter Sana Payment ,1,"15,000","15,000",12/06/2025, Balancing 11681+556875
2/3 Wood,350,5,"52,500",12/13/2025,
Nail(pkg,17,100,"1,700",12/13/2025,
Materials Transport ,4,"2,500","10,000",12/13/2025,
Carpenter Sana Payment ,1,"5,000","5,000",12/23/2025,
Acrojack ,400,2.5,"27,000",12/15/2025,
Generator Repair ,1,600,600,12/17/2025,
Generator Transport ,2,300,600,12/17/2025,
Gas for Generator ,1,500,500,12/17/2025,
Plywood Rental ,65,20,"32,500",12/18/2025,
Nail(kg),8,100,800,12/20/2025,
Plywood 12mm,30,"1,700","51,000",12/22/225,
Acrojack ,50,2.5,400,12/22/2025,
Materials Transport ,1,"2,000","2,000",12/22/2025,
Iron Rod 10mm,500,330,"165,000",12/23/2025,
Iron Rod 12mm,30,500,"15,000",12/23/2025,
Iron Rod 6mm,35,130,"4,550",12/23/2025,
Binding Wire,3,400,"1,200",12/23/2025,
Materials Transport ,1,"5,000","5,000",12/23/2025,
Carpenter Sana Payment ,1,"5,000","5,000",12/23/2025,
Iron Man Payment,1,"11,000","11,000",12/23/2025,
Wave Transfer Fee,1,110,110,12/23/2025,
Plywood 12mm,12,"1,700","20,400",12/24/2025,
Plywood Transport ,1,500,500,12/24/2025,
10m Rope ,1,500,500,12/24/2025,
Poly,1,200,200,12/24/2025,
Plumbing Materials ,1,"19,132","19,000",12/26/2025,
Materials Transport ,1,300,300,12/26/2025,
Plywood 12mm,10,"1,700","17,000",12/26/2025,
Cardboard ,2,400,800,12/26/2025,
Materials Transport ,1,300,300,12/26/2025,
Electrical Materials,1,"12,475","12,475",12/26/2025,"240,925"
Electrical Material Transport ,1,300,300,12/26/2025,
Wash Stone,3,"14,000","42,000",12/26/2025,"-18,625"
Asphalt 19cu,1,"94,500","94,500",12/26/2025,
Sand,3,"8,000","24,000",12/26/2025,
Buba Tunkara,1,"8,000","8,000",12/26/2025,
Nail(Box) 2in,25,30,750,12/27/2025,
Nails,1,"1,200","1,200",12/27/2025,
Acrojack ,25,2.5,"1,000",12/27/2025,
2/3 Wood,30,5,"2,400",12/27/2025,
Materials Transport ,1,600,600,12/27/2025,
1/6 Wood,18,375,"6,750",12/27/2025,
1/2 Wood,2,100,200,12/27/2025,
Acrojack Transport ,1,350,350,12/27/2025,
Electrician ,1,"9,000","9,000",12/27/2025,
Electrical Material Transport ,2,500,"1,000",12/28/2025,
Electrical Material ,1,"3,100","3,100",12/29/2025,
Electrical Material Transport ,1,300,300,12/29/2025,
Binding Wire(Roll),1,500,500,12/29/2025,
Adjusting the Pillars ,1,"1,000","1,000",12/29/2025,
Iron Man Payment,1,"11,000","11,000",12/29/2025,
Plumber ,1,"16,000","16,000",12/29/2025,
Ali Clearly pathway ,1,"1,000","1,000",12/29/2025,
