ITEM,QUALITY ,UNIT PRICE(D),TOTAL COST(D),DATE,
Ali Salary ,1,"5,500.00","5,500.00",05/01/2026,
1/2 Wood,200,100.00,"20,000.00",05/01/2029,
1/2 Wood Transport ,1,800.00,800.00,05/01/2026,
2/3 Wood Rentals(25Days),150,5.50,"20,625.00",05/01/2026,
2/3 Woods Transport,1,"1,000.00","1,000.00",05/01/2026,
Nail(Box),3,"2,500.00","7,500.00",05/01/2026,
Concrete Nail(BigBox),1,"1,500.00","1,500.00",05/01/2026,
Carpenter ,1,"30,000.00","30,000.00",05/02/2026,
Gas for Generator ,1,400.00,400.00,05/06/2026,
AcroJack Rentals(18Days),250,2.50,"11,250.00",05/08/2026,
AcroJack Transport ,1,"1,500.00","1,500.00",05/08/2026,
2/3 Wood Rentals(17Days),120,5.00,"10,200.00",05/09/2026,
2/3 Woods Transport,1,"1,200.00","1,200.00",05/09/2026,
Plywood (15Days),65,19.00,"18,525.00",05/11/2026,
AcroJack Rentals(25Days),150,2.50,"9,375.00",05/11/2026,
AcroJack and Plywood Transport ,1,"3,000.00","3,000.00",05/11/2026,
2/3 Wood Rentals(16Days),50,5.00,"4,000.00",05/11/2026,
2/3 Woods Transport,1,600.00,600.00,05/11/2026,
Carpenter ,1,"15,000.00","15,000.00",05/16/2026,
Iron Rod(12mm),40,525.00,"21,000.00",05/16/2026,
Iron Rod(10mm),500,330.00,"165,000.00",05/16/2026,
Binding Wire,3,500.00,"1,500.00",05/16/2026,
Iron Rods Transport ,1,"3,300.00","3,300.00",05/16/2026,
Iron Man Payment,1,"20,000.00","20,000.00",05/17/2026,
Plywood 12mm,11,"1,750.00","19,250.00",05/18/2026,
Plywood 12mm,10,"1,800.00","18,000.00",05/18/2026,
2/3 Wood,25,250.00,"6,250.00",05/18/2026,
1/6 Wood,15,340.00,"5,100.00",05/18/2026,
Concrete Nail(Pack),10,35.00,350.00,05/18/2026,
Cement,1,475.00,475.00,05/18/2026,
Materials Transport ,1,"1,500.00","1,500.00",05/18/2026,
Asphalt(19cu) ,1,"100,000.00","100,000.00",05/18/2026,
Ali moving sand,,,,,
Plumbing Materials,1,"19,000.00","19,000.00",05/19/2026,
Electrical Materials,1,"13,325.00","13,325.00",05/19/2026,
Plumber ,1,"10,000.00","10,000.00",05/20/2026,
Electrician ,1,"9,000.00","9,000.00",05/20/2026,
Washed Stone,3,"15,500.00","46,500.00",05/20/2026,
Sand,3,"9,000.00","27,000.00",05/21/2026,
Gas for Generator ,1,400.00,400.00,05/21/2026,
Binding Wire,1,500.00,500.00,05/21/2026,
Plumbing Materials ,1,200.00,200.00,05/21/2026,
Plumber Extra,1,"2,000.00","2,000.00",05/21/2026,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total,,,"651,625.00",,
