ITEM,QUALITY ,UNIT PRICE(D),COST(D),FLOOR,DATE,,,,,,
Cement ,100,480.00,"48,000",3rd Floot,10/14/25,,,,,,
Cement Transport,100,20.00,"2,000",3rd Floot,10/14/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/14/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/15/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/17/25,,,,,,
Brick Molding Cost,"2,910",6.00,"17,460",3rd Floot,10/20/25,,,,,,
Cement ,100,480.00,"48,000",3rd Floot,10/20/25,,,,,,
Cement Transport,100,20.00,"2,000",3rd Floot,10/20/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/21/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/23/25,,,,,,
Brick Molding Cost,"2,766",6.00,"16,600",3rd Floot,10/27/25,,,,,,
Cement ,50,480.00,"24,000",3rd Floot,10/27/25,,,,,,
Cement Transport,50,20.00,"1,000",3rd Floot,10/27/25,,,,,,
Sand,1,"8,500.00","8,500",3rd Floot,10/27/25,,,,,,
Brick Molding Cost,"1,400",6.00,"8,400",3rd Floot,10/29/25,,,,,,
Cement ,200,415.00,"83,000",4th Floor,03/31/2026,,,,,,
Cement Transport,200,30.00,"6,000",4th Floor,03/31/2026,,,,,,
Shovel Repair ,3,100.00,300,4th Floor,04/01/2026,,,,,,
Gas for Generator,1,400.00,400,4th Floor,04/01/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/02/2026,,,,,,
Sand Wave Fee,1,80.00,80,4th Floor,04/02/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/04/2026,,,,,,
Gas for Generator,2,400.00,800,4th Floor,04/08/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/10/2026,,,,,,
Sand Wave Fee,1,80.00,80,4th Floor,04/10/2026,,,,,,
Brick Molding Cost,1,"15,000.00","15,000",4th Floor,04/11/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/11/2026,,,,,,
Gas for Generator,1,400.00,400,4th Floor,04/14/2026,,,,,,
Gas for Generator,1,400.00,400,4th Floor,04/16/2026,,,,,,
Brick Molding Cost,1,"5,000.00","5,000",4th Floor,04/16/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/17/2026,,,,,,
Wave Fee,1,80.00,80,4th Floor,04/17/2026,,,,,,
Sand,1,"8,000.00","8,000",4th Floor,04/24/2026,,,,,,
Gas for Generator,1,400.00,400,4th Floor,04/24/2026,,,,,,
Brick Molding Cost,1,"16,066.00","16,066",4th Floor,04/28/2026,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TOTAL:,,,"301,460",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,"On 10/14/25, from Awa",,"221,250.00","$3,000.00",$1 = 73.75
,,,,,,,,,,,
,,,,,,,On,,,,
,,,,,,,,,,,
,,,,,,,On,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,TOTAL GIVING TO DATE,,"221,250.00","$3,000.00",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Total Amount Spent,,"301,460",,
,,,,,,,,,,,
,,,,,,,REMAINING BALANCE IN HAND,,"-80,210.00",,
