item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Paradise View Plot: 20m x 25m,1,750000,750000,2019-08-03,Cost,Buying,49.0
Physical Plan Guy 1,1,1500,1500,2019-08-09,Registration,Buying,49.0
Physical Plan Guy 2,1,1000,1000,2019-12-17,Registration,Buying,49.0
MoneyTra Fee,1,490,490,2020-02-06,Registration,Buying,49.0
Physical Plan Guy 2,1,2000,2000,2020-02-07,Registration,Buying,49.0
GTBank Fee,1,5000,5000,2020-02-07,Registration,Buying,49.0
Gas for Car,1,500,500,2020-02-07,Registration,Buying,49.0
Chief Area Council ,1,2000,2000,2020-02-10,Registration,Buying,49.0
Gas for Car,1,500,500,2020-02-10,Registration,Buying,49.0
Lady Filled Forms,1,400,400,2020-02-10,Registration,Buying,49.0
Sukuta Alkalo,1,1500,1500,2020-02-11,Registration,Buying,49.0
Gas,1,100,100,2020-02-11,Registration,Buying,49.0
