item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Ali Salary ,1.0,5500.0,5500.0,2026-05-01,Roof Concreting,3rd Floor,73.8
1/2 Wood,200.0,100.0,20000.0,2026-05-01,Roof Concreting,3rd Floor,73.8
1/2 Wood Transport ,1.0,800.0,800.0,2026-05-01,Roof Concreting,3rd Floor,73.8
2/3 Wood Rentals(25Days),150.0,5.5,20625.0,2026-05-01,Roof Concreting,3rd Floor,73.8
2/3 Woods Transport,1.0,1000.0,1000.0,2026-05-01,Roof Concreting,3rd Floor,73.8
Nail(Box),3.0,2500.0,7500.0,2026-05-01,Roof Concreting,3rd Floor,73.8
Concrete Nail(BigBox),1.0,1500.0,1500.0,2026-05-01,Roof Concreting,3rd Floor,73.8
Carpenter ,1.0,30000.0,30000.0,2026-05-02,Roof Concreting,3rd Floor,73.8
Gas for Generator ,1.0,400.0,400.0,2026-05-06,Roof Concreting,3rd Floor,73.8
AcroJack Rentals(18Days),250.0,2.5,11250.0,2026-05-08,Roof Concreting,3rd Floor,73.8
AcroJack Transport ,1.0,1500.0,1500.0,2026-05-08,Roof Concreting,3rd Floor,73.8
2/3 Wood Rentals(17Days),120.0,5.0,10200.0,2026-05-09,Roof Concreting,3rd Floor,73.8
2/3 Woods Transport,1.0,1200.0,1200.0,2026-05-09,Roof Concreting,3rd Floor,73.8
Plywood (15Days),65.0,19.0,18525.0,2026-05-11,Roof Concreting,3rd Floor,73.8
AcroJack Rentals(25Days),150.0,2.5,9375.0,2026-05-11,Roof Concreting,3rd Floor,73.8
AcroJack and Plywood Transport ,1.0,3000.0,3000.0,2026-05-11,Roof Concreting,3rd Floor,73.8
2/3 Wood Rentals(16Days),50.0,5.0,4000.0,2026-05-11,Roof Concreting,3rd Floor,73.8
2/3 Woods Transport,1.0,600.0,600.0,2026-05-11,Roof Concreting,3rd Floor,73.8
Brick Molding (5 Bags),155.0,6.0,1100.0,2026-05-13,Roof Concreting,3rd Floor,73.8
Carpenter ,1.0,15000.0,15000.0,2026-05-16,Roof Concreting,3rd Floor,73.75
Iron Rod(12mm),40.0,525.0,21000.0,2026-05-16,Roof Concreting,3rd Floor,73.75
Iron Rod(10mm),500.0,330.0,165000.0,2026-05-16,Roof Concreting,3rd Floor,73.75
Binding Wire,3.0,500.0,1500.0,2026-05-16,Roof Concreting,3rd Floor,73.75
Iron Rods Transport ,1.0,3300.0,3300.0,2026-05-16,Roof Concreting,3rd Floor,73.75
Iron Man Payment,1.0,20000.0,20000.0,2026-05-17,Roof Concreting,3rd Floor,73.75
Plywood 12mm,11.0,1750.0,19250.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Plywood 12mm,10.0,1800.0,18000.0,2026-05-18,Roof Concreting,3rd Floor,73.85
2/3 Wood,25.0,250.0,6250.0,2026-05-18,Roof Concreting,3rd Floor,73.85
1/6 Wood,15.0,340.0,5100.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Concrete Nail (Pack),10.0,35.0,350.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Cement,1.0,475.0,475.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Materials Transport ,1.0,1500.0,1500.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Asphalt(19cu) ,1.0,100000.0,100000.0,2026-05-18,Roof Concreting,3rd Floor,73.85
Ali Moving the Neighbor’s Sand ,1.0,2200.0,2200.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Plumbing Materials,1.0,19000.0,19000.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Electrical Materials,1.0,13325.0,13325.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Plumbing & Electrical Materials Transport ,1.0,600.0,600.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Plumber ,1.0,10000.0,10000.0,2026-05-20,Roof Concreting,3rd Floor,73.85
Electrician ,1.0,9000.0,9000.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Washed Stone,3.0,15500.0,46500.0,2026-05-19,Roof Concreting,3rd Floor,73.85
Sand,3.0,9000.0,27000.0,2026-05-21,Roof Concreting,3rd Floor,73.75
Gas for Generator ,1.0,400.0,400.0,2026-05-21,Roof Concreting,3rd Floor,73.75
Binding Wire,1.0,500.0,500.0,2026-05-21,Roof Concreting,3rd Floor,73.75
Plumbing Materials ,1.0,200.0,200.0,2026-05-21,Roof Concreting,3rd Floor,73.75
Plumber Extra,1.0,2000.0,2000.0,2026-05-21,Roof Concreting,3rd Floor,73.75
