item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Paradise View Plot: 20m x 25m,1.0,750000.0,750000.0,2019-08-03,Cost,Buying,49.0
Physical Plan Guy 1,1.0,1500.0,1500.0,2019-08-09,Registration,Buying,49.0
Physical Plan Guy 2,1.0,1000.0,1000.0,2019-12-17,Registration,Buying,49.0
MoneyTra Fee,1.0,490.0,490.0,2020-02-06,Registration,Buying,49.0
Physical Plan Guy 2,1.0,2000.0,2000.0,2020-02-07,Registration,Buying,49.0
GTBank Fee,1.0,5000.0,5000.0,2020-02-07,Registration,Buying,49.0
Gas for Car,1.0,500.0,500.0,2020-02-07,Registration,Buying,49.0
Chief Area Council ,1.0,2000.0,2000.0,2020-02-10,Registration,Buying,49.0
Gas for Car,1.0,500.0,500.0,2020-02-10,Registration,Buying,49.0
Lady Filled Forms,1.0,400.0,400.0,2020-02-10,Registration,Buying,49.0
Sukuta Alkalo,1.0,1500.0,1500.0,2020-02-11,Registration,Buying,49.0
Gas,1.0,100.0,100.0,2020-02-11,Registration,Buying,49.0
Papa Jara,1.0,2000.0,2000.0,2020-03-23,Fencing,Preconstruction,49.0
Bubacarr Faye,1.0,1500.0,1500.0,2020-04-29,Fencing,Preconstruction,49.0
Papa Jara,1.0,2000.0,2000.0,2020-05-23,Fencing,Preconstruction,49.0
Bubacarr Faye,1.0,2000.0,2000.0,2020-05-23,Fencing,Preconstruction,49.0
Papa Jara,1.0,2500.0,2500.0,2020-04-23,Fencing,Preconstruction,49.0
Bubacarr Faye,1.0,2500.0,2500.0,2020-04-23,Fencing,Preconstruction,49.0
Cutting Trees,1.0,10000.0,10000.0,2020-04-30,Fencing,Preconstruction,49.0
Big Trip of Sand,1.0,7500.0,7500.0,2020-04-30,Fencing,Preconstruction,49.0
Small Trip of Sand,1.0,4000.0,4000.0,2020-04-30,Fencing,Preconstruction,49.0
Cement ,40.0,285.0,11400.0,2020-05-06,Fencing,Preconstruction,49.0
Cement Transport ,1.0,600.0,600.0,2020-05-06,Fencing,Preconstruction,49.0
Wheelbarrow Rental,1.0,200.0,200.0,2020-05-06,Fencing,Preconstruction,49.0
Molding Bricks,1370.0,5.0,6850.0,2020-05-06,Fencing,Preconstruction,49.0
Water for Molding ,1.0,1000.0,1000.0,2020-05-06,Fencing,Preconstruction,49.0
Gas for Transport ,1.0,450.0,450.0,2020-05-06,Fencing,Preconstruction,49.0
Police Ticket ,1.0,200.0,200.0,2020-04-29,Fencing,Preconstruction,49.0
Trip of Pebbles ,1.0,3500.0,3500.0,2020-05-08,Fencing,Preconstruction,49.0
Cement ,25.0,285.0,7125.0,2020-05-08,Fencing,Preconstruction,49.0
Cement Transport ,25.0,15.0,375.0,2020-05-08,Fencing,Preconstruction,49.0
Papa Jara Transport,1.0,600.0,600.0,2020-05-08,Fencing,Preconstruction,49.0
Gas for Transport ,1.0,200.0,200.0,2020-05-08,Fencing,Preconstruction,49.0
Iron Rods,1.0,4550.0,4550.0,2020-05-10,Fencing,Preconstruction,49.0
Iron Rods Transport ,1.0,200.0,200.0,2020-05-10,Fencing,Preconstruction,49.0
Gas for Transport ,1.0,125.0,125.0,2020-05-10,Fencing,Preconstruction,49.0
Gas for Transport ,1.0,400.0,400.0,2020-05-16,Fencing,Preconstruction,49.0
Electric Pipes ,4.0,35.0,140.0,2020-05-16,Fencing,Preconstruction,49.0
Wire for Pillar Board,1.0,100.0,100.0,2020-05-16,Fencing,Preconstruction,49.0
Kilo of Nales,2.0,60.0,120.0,2020-05-16,Fencing,Preconstruction,49.0
Taxi Fare ,1.0,250.0,250.0,2020-05-16,Fencing,Preconstruction,49.0
Pillar Boardrent 2Ds,14.0,50.0,700.0,2020-05-16,Fencing,Preconstruction,49.0
Pillar Iron Rods,4.0,600.0,2400.0,2020-05-16,Fencing,Preconstruction,49.0
Cement ,4.0,285.0,1150.0,2020-05-22,Fencing,Preconstruction,49.0
Gas for Transport ,1.0,200.0,200.0,2020-05-22,Fencing,Preconstruction,49.0
Pillar Mold Rental ,4.0,500.0,2000.0,2020-05-22,Fencing,Preconstruction,49.0
Pillar Board Rental ,6.0,25.0,150.0,2020-02-22,Fencing,Preconstruction,49.0
Pillar & Board Trasp,1.0,1000.0,1000.0,2020-05-22,Fencing,Preconstruction,49.0
Pillar Pebbel,1.0,3000.0,3000.0,2020-05-22,Fencing,Preconstruction,49.0
Pillar Pebbel Trasport,1.0,400.0,400.0,2020-05-22,Fencing,Preconstruction,49.0
Lock for Gate,1.0,250.0,250.0,2020-05-22,Fencing,Preconstruction,49.0
Gate,1.0,26000.0,26000.0,2020-05-22,Fencing,Preconstruction,49.0
Cement ,5.0,285.0,1425.0,2020-05-22,Fencing,Preconstruction,49.0
Cement Transport ,5.0,15.0,75.0,2020-05-22,Fencing,Preconstruction,49.0
Fence Building Fee,1.0,12000.0,12000.0,2020-05-24,Fencing,Preconstruction,49.0
Water for Fencing ,1.0,1000.0,1000.0,2020-05-24,Fencing,Preconstruction,49.0
Finishing ,1.0,1000.0,1000.0,2020-06-23,Fencing,Preconstruction,49.0
Bore Drilling,1.0,95000.0,95000.0,2023-06-24,Borehole Drilling,Preconstruction,63.0
