item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Clearing Momo Haja's plot,1.0,3500.0,3500.0,2025-04-14,Brick Molding,2nd Floor,71.2
2nd Floor Plan Consultation(gas) ,1.0,600.0,600.0,2025-04-15,Brick Molding,2nd Floor,71.2
Cement ,25.0,390.0,9750.0,2025-04-16,Brick Molding,2nd Floor,71.2
Cement Transport ,25.0,20.0,500.0,2025-04-16,Brick Molding,2nd Floor,71.2
Sand(10Wheel),1.0,8000.0,8000.0,2025-04-19,Brick Molding,2nd Floor,71.2
Sand Wave Fee,1.0,80.0,80.0,2025-04-19,Brick Molding,2nd Floor,71.2
Gas for Generator,1.0,400.0,400.0,2025-04-21,Brick Molding,2nd Floor,71.2
Sand(10Wheel),1.0,8000.0,8000.0,2025-04-22,Brick Molding,2nd Floor,71.2
Waggeh-putting sand inside,1.0,1300.0,1300.0,2025-05-04,Brick Molding,2nd Floor,71.2
50 meter Hose,1.0,1600.0,1600.0,2025-04-19,Brick Molding,2nd Floor,71.2
Cement ,150.0,465.0,69750.0,2025-07-08,Brick Molding,2nd Floor,69.0
Cement Transport ,150.0,20.0,3000.0,2025-07-08,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,1.0,8000.0,8000.0,2025-07-08,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,1.0,8000.0,8000.0,2025-07-16,Brick Molding,2nd Floor,68.9
Wheelbarrow Repair,1.0,400.0,400.0,2025-07-17,Brick Molding,2nd Floor,69.0
Wheelbarrow Wheel,1.0,700.0,700.0,2025-07-17,Brick Molding,2nd Floor,68.9
Lock,1.0,100.0,100.0,2025-07-17,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,2.0,8000.0,16000.0,2025-07-21,Brick Molding,2nd Floor,69.0
Wheelbarrow Repair,1.0,150.0,150.0,2025-07-22,Brick Molding,2nd Floor,69.0
Watering,1.0,2350.0,2350.0,2025-07-23,Brick Molding,2nd Floor,69.0
Borehole Machine ,1.0,3500.0,3500.0,2025-07-23,Brick Molding,2nd Floor,69.0
Guard,1.0,500.0,500.0,2025-07-25,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,2.0,8000.0,16000.0,2025-07-26,Brick Molding,2nd Floor,69.0
Cement ,50.0,475.0,23750.0,2025-07-30,Brick Molding,2nd Floor,69.0
Cement Transport ,50.0,25.0,1250.0,2025-07-30,Brick Molding,2nd Floor,69.0
Brick Molding(200x25),5000.0,7.0,35000.0,2025-08-05,Brick Molding,2nd Floor,69.0
Guard Transport during Bricking,1.0,1000.0,1000.0,2025-08-05,Brick Molding,2nd Floor,69.0
Watering & Transport,1.0,3000.0,3000.0,2025-08-25,Brick Molding,2nd Floor,69.0
