item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
1 by 2 wood,25,100.0,2500.0,2024-01-01,Construction,1st Floor,67.5
Wooden Pake,15,35.0,500.0,2024-01-01,Construction,1st Floor,67.5
3 Inches Nale(kg) ,2,100.0,200.0,2024-01-01,Construction,1st Floor,67.5
2 and half Inches Nale(kg) ,2,100.0,200.0,2024-01-01,Construction,1st Floor,67.5
Materials Transportation ,1,500.0,500.0,2024-01-01,Construction,1st Floor,67.5
Floor Plan Copy/Laminating,1,550.0,550.0,2024-01-02,Construction,1st Floor,67.5
50m Water Hose/Pipe,1,1500.0,1500.0,2024-01-06,Construction,1st Floor,67.5
Iron Rod(12mm),100,540.0,54000.0,2024-01-11,Construction,1st Floor,67.5
Iron Rod(6mm),100,150.0,15000.0,2024-01-11,Construction,1st Floor,67.5
Cement,100,405.0,40500.0,2024-01-11,Construction,1st Floor,67.5
Wheelbarrow ,1,2700.0,2700.0,2024-01-11,Construction,1st Floor,67.5
Binding Wire(Bundle),2,425.0,850.0,2024-01-11,Construction,1st Floor,67.5
Materials Transportation ,1,3800.0,3800.0,2024-01-11,Construction,1st Floor,67.5
Sand (10 Wheel),1,7500.0,7500.0,2024-01-11,Construction,1st Floor,67.5
Clean Pebble(10 Wheels) ,1,12000.0,12000.0,2024-01-11,Construction,1st Floor,67.5
Sulaiman Juwara(Contractor),1,100000.0,100000.0,2024-01-11,Construction,1st Floor,67.5
Bubacar Fai Payment ,1,12000.0,12000.0,2024-01-11,Construction,1st Floor,67.5
Asphalt Stones(double trip),1,84000.0,84000.0,2024-01-27,Construction,1st Floor,71.2
Cement For Guard's Room ,7,400.0,2800.0,2024-01-29,Construction,1st Floor,71.2
Transport(Cements),1,150.0,150.0,2024-01-29,Construction,1st Floor,71.2
Guard's Room Fl Concrete ,1,3000.0,3000.0,2024-01-29,Construction,1st Floor,71.2
Mattress ,1,2300.0,2300.0,2024-02-05,Construction,1st Floor,71.2
Mattress Transport ,1,300.0,300.0,2024-02-05,Construction,1st Floor,71.2
Machete Knife ,1,200.0,200.0,2024-02-05,Construction,1st Floor,71.2
Lock,2,125.0,250.0,2024-02-05,Construction,1st Floor,71.2
Kettle and Prayer Mat,1,275.0,275.0,2024-02-05,Construction,1st Floor,71.2
Chain For Door(1m),1,300.0,300.0,2024-02-05,Construction,1st Floor,71.2
Slide Bolt Lock,1,60.0,60.0,2024-02-05,Construction,1st Floor,71.2
Flashlight with Battery ,1,90.0,90.0,2024-02-05,Construction,1st Floor,71.2
Carpenter for Locks ,1,200.0,200.0,2024-02-05,Construction,1st Floor,71.2
Borehole Reinstallation ,1,800.0,800.0,2024-02-13,Construction,1st Floor,71.2
Guard Room Door locks,1,125.0,125.0,2024-02-13,Construction,1st Floor,71.2
Carpenter ,1,200.0,200.0,2024-02-13,Construction,1st Floor,71.2
Tap Head,1,350.0,350.0,2024-02-13,Construction,1st Floor,71.2
Generator Transport,1,600.0,600.0,2024-02-14,Construction,1st Floor,71.2
1 by 12 Wood,8,650.0,5200.0,2024-02-20,Construction,1st Floor,71.2
1 by 12 Wood Transport ,1,700.0,700.0,2024-02-20,Construction,1st Floor,71.2
Generator ,1,11000.0,11000.0,2024-02-20,Construction,1st Floor,71.2
Generator Transport ,1,600.0,600.0,2024-02-20,Construction,1st Floor,71.2
Gas for the Generator ,1,400.0,400.0,2024-02-20,Construction,1st Floor,71.2
Momo Waggeh,1,500.0,500.0,2024-02-20,Construction,1st Floor,71.2
Rice(50kg) for Momo Waggeh,1,2000.0,2000.0,2024-02-24,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-03-01,Construction,1st Floor,71.2
Cement ,100,395.0,39500.0,2024-03-05,Construction,1st Floor,71.2
Cement Transport ,1,2000.0,2000.0,2024-03-05,Construction,1st Floor,71.2
1 by 2 Wood,60,100.0,6000.0,2024-03-05,Construction,1st Floor,71.2
Plywood(12mm) ,10,1550.0,15500.0,2024-03-05,Construction,1st Floor,71.2
Splitting 12mm plywood ,10,75.0,750.0,2024-03-05,Construction,1st Floor,71.2
12mm plywood Transport ,1,700.0,700.0,2024-03-05,Construction,1st Floor,71.2
Momo Waggeh Salary (March) ,1,4000.0,4000.0,2024-03-05,Construction,1st Floor,71.2
Nail(kg),9,100.0,900.0,2024-03-05,Construction,1st Floor,71.2
Binding Wire(Bundle),2,475.0,950.0,2024-03-12,Construction,1st Floor,71.2
PS 10mm Iron Rod,100,340.0,34000.0,2024-03-12,Construction,1st Floor,71.2
Binding Wire+IronRod Trans,1,800.0,800.0,2024-03-12,Construction,1st Floor,71.2
Workers Ramadan Gift,1,400.0,400.0,2024-03-12,Construction,1st Floor,71.2
Iron Rod(6mm),25,150.0,3750.0,2024-03-13,Construction,1st Floor,71.2
6mm Transport ,1,400.0,400.0,2024-03-13,Construction,1st Floor,71.2
Gas + Nails ,1,500.0,500.0,2024-03-13,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-03-23,Construction,1st Floor,71.2
BCF Ramadan,1,2000.0,2000.0,2024-03-24,Construction,1st Floor,71.2
Cement,50,390.0,19500.0,2024-03-25,Construction,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2024-03-25,Construction,1st Floor,71.2
Gas for the Generator ,1,300.0,300.0,2024-03-27,Construction,1st Floor,71.2
Iron Rod(12mm),90,510.0,45900.0,2024-03-29,Construction,1st Floor,71.2
Iron Rod(10mm),100,325.0,32500.0,2024-03-29,Construction,1st Floor,71.2
PS 6mm Iron Rod,85,135.0,11400.0,2024-03-29,Construction,1st Floor,71.2
Binding Wire(Bundle),3,400.0,1200.0,2024-03-29,Construction,1st Floor,71.2
Iron Rod + Binding Wire Trans,1,2000.0,2000.0,2024-03-29,Construction,1st Floor,71.2
Timber for Sappo,20,200.0,4000.0,2024-03-29,Construction,1st Floor,71.2
Timber Transport ,1,650.0,650.0,2024-03-29,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-03-29,Construction,1st Floor,71.2
