item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Cement ,200.0,415.0,83000.0,2026-03-31,Brick Molding,4th Floor,69.5
Cement Transport,200.0,30.0,6000.0,2026-03-31,Brick Molding,4th Floor,69.5
Shovel Repair ,3.0,100.0,300.0,2026-04-01,Brick Molding,4th Floor,69.5
Gas for Generator,1.0,400.0,400.0,2026-04-01,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-02,Brick Molding,4th Floor,69.5
Sand Wave Fee,1.0,80.0,80.0,2026-04-02,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-04,Brick Molding,4th Floor,69.5
Gas for Generator,2.0,400.0,800.0,2026-04-08,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-10,Brick Molding,4th Floor,69.5
Sand Wave Fee,1.0,80.0,80.0,2026-04-10,Brick Molding,4th Floor,69.5
Brick Molding Cost,1.0,15000.0,15000.0,2026-04-11,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-11,Brick Molding,4th Floor,69.5
Gas for Generator,1.0,400.0,400.0,2026-04-14,Brick Molding,4th Floor,69.5
Gas for Generator,1.0,400.0,400.0,2026-04-16,Brick Molding,4th Floor,69.5
Brick Molding Cost,1.0,5000.0,5000.0,2026-04-16,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-17,Brick Molding,4th Floor,69.5
Wave Fee,1.0,80.0,80.0,2026-04-17,Brick Molding,4th Floor,69.5
Sand,1.0,8000.0,8000.0,2026-04-24,Brick Molding,4th Floor,69.5
Gas for Generator,1.0,400.0,400.0,2026-04-24,Brick Molding,4th Floor,69.5
Brick Molding Cost,1.0,16066.0,16066.0,2026-04-28,Brick Molding,4th Floor,69.5
