item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Clearing Momo Haja's plot,1.0,3500.0,3500.0,2025-04-14,Brick Molding,2nd Floor,71.2
2nd Floor Plan Consultation(gas) ,1.0,600.0,600.0,2025-04-15,Brick Molding,2nd Floor,71.2
Cement ,25.0,390.0,9750.0,2025-04-16,Brick Molding,2nd Floor,71.2
Cement Transport ,25.0,20.0,500.0,2025-04-16,Brick Molding,2nd Floor,71.2
Sand(10Wheel),1.0,8000.0,8000.0,2025-04-19,Brick Molding,2nd Floor,71.2
Sand Wave Fee,1.0,80.0,80.0,2025-04-19,Brick Molding,2nd Floor,71.2
Gas for Generator,1.0,400.0,400.0,2025-04-21,Brick Molding,2nd Floor,71.2
Sand(10Wheel),1.0,8000.0,8000.0,2025-04-22,Brick Molding,2nd Floor,71.2
Waggeh-putting sand inside,1.0,1300.0,1300.0,2025-05-04,Brick Molding,2nd Floor,71.2
50 meter Hose,1.0,1600.0,1600.0,2025-04-19,Brick Molding,2nd Floor,71.2
Cement ,150.0,465.0,69750.0,2025-07-08,Brick Molding,2nd Floor,69.0
Cement Transport ,150.0,20.0,3000.0,2025-07-08,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,1.0,8000.0,8000.0,2025-07-08,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,1.0,8000.0,8000.0,2025-07-16,Brick Molding,2nd Floor,68.9
Wheelbarrow Repair,1.0,400.0,400.0,2025-07-17,Brick Molding,2nd Floor,69.0
Wheelbarrow Wheel,1.0,700.0,700.0,2025-07-17,Brick Molding,2nd Floor,68.9
Lock,1.0,100.0,100.0,2025-07-17,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,2.0,8000.0,16000.0,2025-07-21,Brick Molding,2nd Floor,69.0
Wheelbarrow Repair,1.0,150.0,150.0,2025-07-22,Brick Molding,2nd Floor,69.0
Watering,1.0,2350.0,2350.0,2025-07-23,Brick Molding,2nd Floor,69.0
Borehole Machine ,1.0,3500.0,3500.0,2025-07-23,Brick Molding,2nd Floor,69.0
Guard,1.0,500.0,500.0,2025-07-25,Brick Molding,2nd Floor,69.0
Sand(10Wheel) ,2.0,8000.0,16000.0,2025-07-26,Brick Molding,2nd Floor,69.0
Cement ,50.0,475.0,23750.0,2025-07-30,Brick Molding,2nd Floor,69.0
Cement Transport ,50.0,25.0,1250.0,2025-07-30,Brick Molding,2nd Floor,69.0
Brick Molding(200x25),5000.0,7.0,35000.0,2025-08-05,Brick Molding,2nd Floor,69.0
Guard Transport during Bricking,1.0,1000.0,1000.0,2025-08-05,Brick Molding,2nd Floor,69.0
Watering & Transport,1.0,3000.0,3000.0,2025-08-25,Brick Molding,2nd Floor,69.0
Rope for Lifting Bricks,1.0,400.0,400.0,2025-08-28,Construction,2nd Floor,73.5
Iron Rod 12mm,70.0,550.0,38500.0,2025-08-30,Construction,2nd Floor,73.5
Iron Rod 6mm,40.0,150.0,6000.0,2025-08-30,Construction,2nd Floor,73.5
Wheelbarrow,1.0,2800.0,2800.0,2025-08-30,Construction,2nd Floor,73.5
Binding Wire(Roll),2.0,500.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Materials Transpot,1.0,1000.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Cement,50.0,480.0,24000.0,2025-08-30,Construction,2nd Floor,73.5
Cement Transport,50.0,20.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1.0,90000.0,90000.0,2025-08-30,Construction,2nd Floor,73.5
Gas for Generator,1.0,530.0,530.0,2025-08-31,Construction,2nd Floor,73.5
Generator Repair,1.0,1200.0,1200.0,2025-09-05,Construction,2nd Floor,73.5
Sand(10Wheel),1.0,8300.0,8300.0,2025-09-06,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1.0,100000.0,100000.0,2025-09-08,Construction,2nd Floor,73.5
Cement,50.0,480.0,24000.0,2025-09-10,Construction,2nd Floor,73.5
Cement Transport,50.0,20.0,1000.0,2025-09-10,Construction,2nd Floor,73.5
1 by 2 wood,40.0,100.0,4000.0,2025-09-13,Construction,2nd Floor,73.5
Splitting Plywoods,1.0,650.0,650.0,2025-09-13,Construction,2nd Floor,73.5
Materials Transpot,1.0,600.0,600.0,2025-09-13,Construction,2nd Floor,73.5
Nail(kg) 3 in,3.0,100.0,300.0,2025-09-13,Construction,2nd Floor,73.5
Nail(kg) 3 in,4.0,100.0,400.0,2025-09-15,Construction,2nd Floor,73.5
Cement,50.0,480.0,24000.0,2025-09-16,Construction,2nd Floor,73.5
Cement Transport,50.0,20.0,1000.0,2025-09-16,Construction,2nd Floor,73.5
Asphalt Stone(19 cubic),1.0,95000.0,95000.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 12mm,25.0,540.0,13500.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 10mm,280.0,330.0,92400.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 6mm,125.0,140.0,17500.0,2025-09-17,Construction,2nd Floor,73.5
Binding Wire(Roll),3.0,400.0,1200.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rods Transport,1.0,3000.0,3000.0,2025-09-17,Construction,2nd Floor,73.5
Chain(2m),1.0,700.0,700.0,2025-09-17,Construction,2nd Floor,73.5
Lock,1.0,250.0,250.0,2025-09-17,Construction,2nd Floor,73.5
1 by 6,10.0,400.0,4000.0,2025-09-17,Construction,2nd Floor,73.5
1 by 6 & 12mm Rod Transport,1.0,600.0,600.0,2025-09-17,Construction,2nd Floor,73.5
Nail(kg) 3 in,2.0,100.0,200.0,2025-09-17,Construction,2nd Floor,73.5
Sand(10Wheel),1.0,8300.0,8300.0,2025-09-17,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1.0,100000.0,100000.0,2025-09-21,Construction,2nd Floor,73.6
Bucket,3.0,100.0,300.0,2025-09-22,Construction,2nd Floor,73.6
Binding Wire(Roll),2.0,500.0,1000.0,2025-09-22,Construction,2nd Floor,73.6
1 by 2 wood,20.0,100.0,2000.0,2025-09-24,Construction,2nd Floor,73.6
Splitting Rest of the Plywoods,1.0,1125.0,1125.0,2025-09-24,Construction,2nd Floor,73.6
Plywood & 1 by 2 Transport,1.0,800.0,800.0,2025-09-24,Construction,2nd Floor,73.6
Nail(kg) 3 in,5.0,100.0,500.0,2025-09-29,Construction,2nd Floor,73.6
Nail(kg) 2 in,2.0,100.0,200.0,2025-09-29,Construction,2nd Floor,73.6
Nail(kg) 1 in,2.0,100.0,200.0,2025-09-29,Construction,2nd Floor,73.6
Cement,50.0,480.0,24000.0,2025-09-30,Construction,2nd Floor,73.6
Cement Transport,50.0,20.0,1000.0,2025-09-30,Construction,2nd Floor,73.6
Momo Waggeh's Sept Salary,1.0,4000.0,4000.0,2025-09-30,Construction,2nd Floor,73.6
Gas for Generator,1.0,500.0,500.0,2025-10-01,Construction,2nd Floor,73.6
Njaye Extra- Transporting Bricks,1.0,5000.0,5000.0,2025-10-04,Construction,2nd Floor,73.6
For Bubacarr Faye,1.0,5000.0,5000.0,2025-10-09,Construction,2nd Floor,73.6
Cement,50.0,480.0,24000.0,2025-10-11,Construction,2nd Floor,73.6
Cement Transport,50.0,20.0,1000.0,2025-10-11,Construction,2nd Floor,73.6
Gas for Generator,1.0,400.0,400.0,2025-10-13,Construction,2nd Floor,73.6
Generator Repair,1.0,2700.0,2700.0,2025-10-14,Construction,2nd Floor,73.6
Generator Transport,1.0,600.0,600.0,2025-10-14,Construction,2nd Floor,73.6
Wheelbarrow Repair,1.0,800.0,800.0,2025-10-14,Construction,2nd Floor,73.6
Sand(10Wheel),1.0,8500.0,8500.0,2025-10-17,Construction,2nd Floor,73.6
Binding Wire(Roll),1.0,500.0,500.0,2025-10-17,Construction,2nd Floor,73.6
Nail(kg) 3 in,3.0,100.0,300.0,2025-10-17,Construction,2nd Floor,73.6
Gas for Generator,1.0,435.0,435.0,2025-10-19,Construction,2nd Floor,73.6
Nail(kg) 3 in,7.0,100.0,700.0,2025-10-20,Construction,2nd Floor,73.6
Nail(kg) 2 in,3.0,100.0,300.0,2025-10-20,Construction,2nd Floor,73.6
Momo Waggeh's Bed,1.0,2000.0,2000.0,2025-10-20,Construction,2nd Floor,73.6
